burst_id,min_lag,duration_seconds,cluster,predicted_prob_250d_gt20,target_gt20_250d
2021-03-16_2021-03-16 08:38:53-04:00,78.05634259259259,0.0,0.0,5.892481690152332e-60,0
2021-03-16_2021-03-16 08:38:55-04:00,78.05631944444444,3.0,0.0,5.904883207765594e-60,0
2021-03-16_2021-03-16 08:39:00-04:00,78.05626157407407,21.0,3.0,3.5053907396145926e-59,0
2021-03-16_2021-03-16 08:39:24-04:00,78.0559837962963,0.0,5.0,1.3839823707759206e-59,0
2021-03-16_2021-03-16 08:41:39-04:00,78.0544212962963,1788.0,4.0,6.588904707748127e-66,0
2021-03-16_2021-03-16 09:11:30-04:00,78.03369212962963,40.0,3.0,2.3667998204718213e-59,0
2021-03-16_2021-03-16 09:12:12-04:00,78.03320601851851,0.0,3.0,3.6040413927708792e-59,0
2021-03-16_2021-03-16 09:12:14-04:00,78.03318287037037,5.0,0.0,5.29443221993286e-60,0
2021-03-16_2021-03-16 09:12:21-04:00,78.03310185185185,381.0,1.0,1.893742116164233e-59,0
2021-03-16_2021-03-16 09:18:55-04:00,78.02854166666667,5.0,3.0,4.322204429618682e-59,0
2021-03-16_2021-03-16 09:19:02-04:00,78.02846064814815,0.0,0.0,6.820335149831955e-60,0
2021-03-16_2021-03-16 09:19:08-04:00,78.0283912037037,2.0,3.0,4.745548813794356e-59,0
2021-03-16_2021-03-16 09:19:12-04:00,78.0283449074074,2.0,3.0,4.745049483511915e-59,0
2021-03-16_2021-03-16 09:19:16-04:00,78.02829861111111,0.0,3.0,3.4367490702351607e-59,0
2021-03-16_2021-03-16 09:19:18-04:00,78.02827546296297,4.0,3.0,3.447013952595437e-59,0
2021-03-16_2021-03-16 09:19:24-04:00,78.02820601851852,0.0,3.0,3.4352856919983567e-59,0
2021-03-16_2021-03-16 09:19:28-04:00,78.02815972222223,0.0,3.0,3.519039957928166e-59,0
2021-03-16_2021-03-16 09:19:32-04:00,78.02811342592592,0.0,3.0,3.519238277400161e-59,0
2021-03-16_2021-03-16 09:19:34-04:00,78.02809027777778,0.0,0.0,5.148545038136345e-60,0
2021-03-16_2021-03-16 09:19:36-04:00,78.02806712962963,1109.0,4.0,6.159741474915319e-65,0
2021-03-16_2021-03-16 09:38:21-04:00,78.01504629629629,3.0,3.0,3.531940978669552e-59,0
2021-03-16_2021-03-16 09:38:30-04:00,78.01494212962963,3.0,3.0,3.9253926166423462e-59,0
