start,end,max,count,date,burst_id,cluster,close,close_fwd_1d,return_1d,close_fwd_5d,return_5d,close_fwd_20d,return_20d,close_fwd_60d,return_60d,close_fwd_120d,return_120d,close_fwd_250d,return_250d,close_fwd_360d,return_360d,close_fwd_500d,return_500d,duration_seconds
2021-06-10 08:28:22-04:00,2021-06-10 08:28:22-04:00,278.95,1,2021-06-10,2021-06-10_2021-06-10 08:28:22-04:00,2.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,0.0
2021-06-10 08:28:29-04:00,2021-06-10 08:28:57-04:00,278.95,3,2021-06-10,2021-06-10_2021-06-10 08:28:29-04:00,0.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,28.0
2021-06-10 08:29:12-04:00,2021-06-10 08:29:16-04:00,278.89,3,2021-06-10,2021-06-10_2021-06-10 08:29:12-04:00,0.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,4.0
2021-06-10 08:29:41-04:00,2021-06-10 08:39:01-04:00,281.45,122,2021-06-10,2021-06-10_2021-06-10 08:29:41-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,560.0
2021-06-10 08:39:24-04:00,2021-06-10 08:39:24-04:00,278.0,1,2021-06-10,2021-06-10_2021-06-10 08:39:24-04:00,5.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,0.0
2021-06-10 08:39:38-04:00,2021-06-10 08:39:50-04:00,279.0,6,2021-06-10,2021-06-10_2021-06-10 08:39:38-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,12.0
2021-06-10 08:39:55-04:00,2021-06-10 08:44:10-04:00,280.0,33,2021-06-10,2021-06-10_2021-06-10 08:39:55-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,255.0
2021-06-10 08:44:20-04:00,2021-06-10 08:45:45-04:00,279.94,21,2021-06-10,2021-06-10_2021-06-10 08:44:20-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,85.0
2021-06-10 08:46:06-04:00,2021-06-10 08:46:23-04:00,279.0,9,2021-06-10,2021-06-10_2021-06-10 08:46:06-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,17.0
2021-06-10 08:46:25-04:00,2021-06-10 08:47:30-04:00,279.0,9,2021-06-10,2021-06-10_2021-06-10 08:46:25-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,65.0
