burst_id,burst_start,lag_days,trade_count,unique_strikes,unique_expirations,call_count,put_count,total_size,total_notional,call_notional,put_notional,avg_price,avg_strike,call_itm_notional,call_atm_notional,call_otm_notional,put_itm_notional,put_atm_notional,put_otm_notional,cluster,close,return_20d,return_60d,return_120d,return_250d
2021-03-16_2021-03-16 09:19:18-04:00,2021-03-16 09:19:18-04:00,6,296191,259,12,175172,121019,797185,25598681.58,19622932.240000002,5975749.34,32.431969303591266,331.9602519995543,4139046.880000001,196438.93,15287446.43,5806964.84,68401.17,100383.33,3.0,50.25,-17.666666666666664,14.517412935323382,1.3930348258706535,-53.53233830845772
2021-03-16_2021-03-16 09:19:18-04:00,2021-03-16 09:19:18-04:00,7,141756,250,12,89366,52390,401403,10682828.8,8432677.75,2250151.05,29.096784263099973,297.4172627613646,1247674.68,108605.13,7076397.9399999995,2145672.5999999996,55954.29000000001,48524.15999999999,3.0,50.25,-17.666666666666664,14.517412935323382,1.3930348258706535,-53.53233830845772
2021-03-16_2021-03-16 09:19:24-04:00,2021-03-16 09:19:24-04:00,1,102894,265,12,53254,49640,316708,6523648.210000001,3859543.2600000002,2664104.95,26.195528699438256,302.43313021167415,171444.57,56396.090000000004,3631702.5999999996,2611484.7199999997,23589.4,29030.829999999998,3.0,50.25,-17.666666666666664,14.517412935323382,1.3930348258706535,-53.53233830845772
2021-03-16_2021-03-16 09:19:24-04:00,2021-03-16 09:19:24-04:00,4,158348,273,13,103167,55181,524025,7367700.15,5474585.72,1893114.4300000002,18.752899626139897,347.67063051001594,190658.31999999998,38326.04,5245601.359999999,1834639.6,28810.85,29663.979999999996,3.0,50.25,-17.666666666666664,14.517412935323382,1.3930348258706535,-53.53233830845772
2021-03-16_2021-03-16 09:19:24-04:00,2021-03-16 09:19:24-04:00,5,145440,273,13,86302,59138,436461,9667513.15,6677676.459999999,2989836.6900000004,23.37048776127613,338.2457061331133,1036874.0800000001,72277.63,5568524.75,2921135.06,31469.65,37231.98,3.0,50.25,-17.666666666666664,14.517412935323382,1.3930348258706535,-53.53233830845772
2021-03-16_2021-03-16 09:19:24-04:00,2021-03-16 09:19:24-04:00,6,296191,259,12,175172,121019,797185,25598681.58,19622932.240000002,5975749.34,32.431969303591266,331.9602519995543,4139046.880000001,196438.93,15287446.43,5806964.84,68401.17,100383.33,3.0,50.25,-17.666666666666664,14.517412935323382,1.3930348258706535,-53.53233830845772
2021-03-16_2021-03-16 09:19:24-04:00,2021-03-16 09:19:24-04:00,7,141756,250,12,89366,52390,401403,10682828.8,8432677.75,2250151.05,29.096784263099973,297.4172627613646,1247674.68,108605.13,7076397.9399999995,2145672.5999999996,55954.29000000001,48524.15999999999,3.0,50.25,-17.666666666666664,14.517412935323382,1.3930348258706535,-53.53233830845772
2021-03-16_2021-03-16 09:19:28-04:00,2021-03-16 09:19:28-04:00,1,102894,265,12,53254,49640,316708,6523648.210000001,3859543.2600000002,2664104.95,26.195528699438256,302.43313021167415,171444.57,56396.090000000004,3631702.5999999996,2611484.7199999997,23589.4,29030.829999999998,3.0,50.25,-17.666666666666664,14.517412935323382,1.3930348258706535,-53.53233830845772
2021-03-16_2021-03-16 09:19:28-04:00,2021-03-16 09:19:28-04:00,4,158348,273,13,103167,55181,524025,7367700.15,5474585.72,1893114.4300000002,18.752899626139897,347.67063051001594,190658.31999999998,38326.04,5245601.359999999,1834639.6,28810.85,29663.979999999996,3.0,50.25,-17.666666666666664,14.517412935323382,1.3930348258706535,-53.53233830845772
2021-03-16_2021-03-16 09:19:28-04:00,2021-03-16 09:19:28-04:00,5,145440,273,13,86302,59138,436461,9667513.15,6677676.459999999,2989836.6900000004,23.37048776127613,338.2457061331133,1036874.0800000001,72277.63,5568524.75,2921135.06,31469.65,37231.98,3.0,50.25,-17.666666666666664,14.517412935323382,1.3930348258706535,-53.53233830845772
