burst_id,date,mean_x,mean_y,var_x,var_y,size,cluster
2021-05-26_2021-05-26T10:21:34-04:00,2021-05-26,0.49483660163855425,0.6182229725440014,0.09342745791943306,0.038996078233592094,166,3
2021-05-26_2021-05-26T10:21:50-04:00,2021-05-26,0.49719793529985884,0.5671562071412696,0.09248334877867,0.04922632948773057,261,3
2021-05-26_2021-05-26T10:22:12-04:00,2021-05-26,0.46190409414193545,0.6298043976643035,0.08780363529675783,0.04048019387590222,155,3
2021-05-26_2021-05-26T10:24:06-04:00,2021-05-26,0.45136785531667895,0.6908964443349002,0.07837915265866516,0.03469606097244031,5000,4
2021-05-27_2021-05-27T08:11:21-04:00,2021-05-27,0.451767552,0.0,,,1,2
2021-05-27_2021-05-27T09:59:02-04:00,2021-05-27,0.2349499284210526,0.2726173541962968,0.06627884948451976,0.13758336216728959,19,3
2021-05-27_2021-05-27T09:59:06-04:00,2021-05-27,0.4566759787308979,0.5553790537268954,0.08630471967804894,0.046546223076833836,636,1
2021-05-27_2021-05-27T10:00:02-04:00,2021-05-27,0.4951345481227318,0.5407144836687534,0.07905577871539951,0.04802625341076956,433,3
2021-05-27_2021-05-27T10:00:40-04:00,2021-05-27,0.6518689645714285,0.6227876984127061,0.06345400144539821,0.08944007141585297,14,3
2021-05-27_2021-05-27T10:00:47-04:00,2021-05-27,0.60205124,0.6962923405553935,0.0839069282000584,0.07066581467260664,16,3
2021-05-27_2021-05-27T10:01:38-04:00,2021-05-27,0.43133902821052633,0.5891493268053939,0.1207659048223908,0.10178596246113915,19,3
2021-05-27_2021-05-27T10:01:42-04:00,2021-05-27,0.4935952128,0.34354838709677554,0.06354290732500395,0.08927268744180851,20,3
2021-05-27_2021-05-27T10:01:59-04:00,2021-05-27,0.4434054292158454,0.485217834960073,0.08917548175963487,0.06191135868420252,345,3
2021-05-27_2021-05-27T10:04:46-04:00,2021-05-27,0.4501732719617261,0.5736613511507169,0.09416918983336456,0.026768968973391684,5000,4
2021-05-28_2021-05-28T08:00:00-04:00,2021-05-28,0.7770694575818023,0.6279231256918923,0.04227675828023267,0.0548998077494147,381,3
2021-05-28_2021-05-28T09:09:32-04:00,2021-05-28,0.5937105066666667,0.47941567065068674,0.17348615224959518,0.251271143844283,3,0
2021-05-28_2021-05-28T09:09:38-04:00,2021-05-28,0.084644928,0.5272727272727284,0.0018864854925762565,0.12639462809917368,5,2
2021-05-28_2021-05-28T09:09:45-04:00,2021-05-28,0.59836736,0.5,0.060197771164024846,0.5,2,0
2021-05-28_2021-05-28T09:09:47-04:00,2021-05-28,0.691096384,0.6477272727272683,0.10319683747473544,0.22365702479338914,4,0
2021-05-28_2021-05-28T09:09:54-04:00,2021-05-28,0.6868530346666667,0.5747126436781603,0.2247026523201427,0.2667459373761393,3,0
2021-05-28_2021-05-28T09:09:57-04:00,2021-05-28,0.488456576,0.6666666666666666,0.20061945111119464,0.33333333333333337,3,0
2021-05-28_2021-05-28T09:10:39-04:00,2021-05-28,0.6198656,0.6666666666666666,0.026327203045441533,0.33333333333333337,3,0
2021-05-28_2021-05-28T09:10:44-04:00,2021-05-28,0.624383872,0.5,0.021115999617056767,0.5,2,0
2021-05-28_2021-05-28T09:10:47-04:00,2021-05-28,0.527818334117647,0.5664961636828697,0.07811156923336823,0.138890433299976,17,3
2021-05-28_2021-05-28T09:10:57-04:00,2021-05-28,0.46384259901634933,0.7620175307162167,0.06780897212381169,0.04186442346103553,188,3
2021-05-28_2021-05-28T09:12:38-04:00,2021-05-28,0.35628940800000003,0.0,0.08857068754570446,0.0,2,2
