detection_time,symbol,detection_mode,spectral_power,roc_value,volatility,volume_spike,price_range,venues,hybrid_primary_venue,hybrid_primary_samples,hybrid_primary_band_ratio,hybrid_primary_band_power,hybrid_primary_total_power,hybrid_confirm_venue,hybrid_confirm_samples,hybrid_confirm_band_ratio,hybrid_confirm_band_power,hybrid_confirm_total_power,hybrid_confirm_sample_ratio,hybrid_eligible
2024-05-13T14:10:49.929Z,GME,hybrid,0.019414460468246103,0.01924839596700261,0.004358830877859673,1,2.3599999999999994,EDGX|CBOE|OTC,OTC,629,0.641224490497458,0.019414460468246103,0.03027716619679402,EDGX,6771,0.3362706474614101,0.016774799554305022,0.04988481653377157,10.764705882352942,1
2024-05-13T14:10:54.930Z,GME,hybrid,0.022339882730826332,0.014018691588785135,0.003849996672079459,1,2.59,EDGX|CBOE|OTC,OTC,880,0.6334824166028689,0.022339882730826332,0.0352651978102673,EDGX,8371,0.3348926681756604,0.012359205047664433,0.03690497350984612,9.5125,1
2024-05-13T14:10:59.930Z,GME,hybrid,0.018485897006342664,0.023064770932069413,0.0035601748592654285,1,3.120000000000001,EDGX|CBOE|OTC,OTC,1045,0.6378163466709883,0.018485897006342664,0.028983103212747295,EDGX,9856,0.3360733147750945,0.009693797250689593,0.02884429326730935,9.43157894736842,1
2024-05-13T14:11:09.937Z,GME,hybrid,0.017381679280583893,0.013579049466537398,0.002768565750850775,1,2.9400000000000013,EDGX|CBOE|OTC,OTC,1046,0.6203235626346566,0.017381679280583893,0.0280203434587587,EDGX,11172,0.3613542950575367,0.0066098319288866786,0.0182918316436068,10.680688336520076,1
2024-05-13T14:11:14.948Z,GME,hybrid,0.008120581810442675,0.022488038277511908,0.0016699144124899502,1,2.59,EDGX|CBOE|OTC,OTC,939,0.4801043786988885,0.008120581810442675,0.016914200683713687,EDGX,7881,0.4030703196315263,0.002987608537975812,0.007412127344695055,8.39297124600639,1
2024-05-13T14:11:19.948Z,GME,hybrid,0.007616390738014194,0.008579004835439046,0.0015162596272524217,1,1.5400000000000027,EDGX|CBOE|OTC,OTC,902,0.5994113603413206,0.007616390738014194,0.012706450431098304,EDGX,7700,0.4169857474055597,0.0027182037283018006,0.006518696970374097,8.536585365853659,1
2024-05-13T14:11:34.973Z,GME,hybrid,0.006944649611078304,0.03149847094801227,0.001787979969985046,1,2.0199999999999996,EDGX|CBOE|OTC,OTC,714,0.5439064968259725,0.006944649611078304,0.01276809461112266,EDGX,6595,0.36471274137101795,0.0018519193566475087,0.005077747900130457,9.236694677871148,1
2024-05-13T14:11:40.009Z,GME,hybrid,0.008289459747716624,0.017660044150110448,0.002013436511565958,1,1.7899999999999991,EDGX|CBOE|OTC,OTC,573,0.6878191698183813,0.008289459747716624,0.01205180098412415,EDGX,6441,0.3671505248078894,0.0021690172882879474,0.0059077058092804864,11.24083769633508,1
2024-05-13T14:11:50.023Z,GME,hybrid,0.008411293134786798,0.00885383129426911,0.002210951827301693,1,2.1499999999999986,EDGX|CBOE|OTC,OTC,499,0.6400912713764197,0.008411293134786798,0.0131407714976328,EDGX,5762,0.3086480659462362,0.002140557053233376,0.006935267994215269,11.547094188376754,1
2024-05-13T14:11:55.025Z,GME,hybrid,0.00774323474389492,0.012830924151372408,0.0021895239966078094,1,2,EDGX|CBOE|OTC,OTC,537,0.6098728031950862,0.00774323474389492,0.012696474909732962,EDGX,5750,0.4068503481268484,0.003037176629577419,0.007465095319595214,10.707635009310987,1
2024-05-13T14:12:00.026Z,GME,hybrid,0.010533589223825206,0.010289389067524125,0.002195850592747397,1,1.9699999999999989,EDGX|CBOE|OTC,OTC,600,0.6278100328343054,0.010533589223825206,0.016778306610154607,EDGX,5678,0.35064202716292214,0.00282387791698618,0.00805344966727019,9.463333333333333,1
2024-05-13T14:12:05.027Z,GME,hybrid,0.010359857334267822,0.025461489497135604,0.0021481263318191036,1,1.9499999999999993,EDGX|CBOE|OTC,OTC,577,0.5857498222098417,0.010359857334267822,0.01768648822663485,EDGX,5541,0.40702339512722974,0.002899644422983025,0.007124023969375611,9.60311958405546,1
2024-05-13T14:12:10.032Z,GME,hybrid,0.012250416029745543,0.01077726975832795,0.0020522584488973546,1,1.3399999999999999,EDGX|CBOE|OTC,OTC,554,0.5989476483640449,0.012250416029745543,0.02045323337224232,EDGX,5417,0.3568847419805277,0.0024310180282161183,0.006811773500669185,9.777978339350181,1
2024-05-13T14:12:15.032Z,GME,hybrid,0.011657876821485775,0.010234400792340783,0.0018270660723457809,1,1.1300000000000026,EDGX|CBOE|OTC,OTC,625,0.5492308175902321,0.011657876821485775,0.021225824276640347,EDGX,5382,0.3579291998457916,0.0020556894795331917,0.005743285209529859,8.6112,1
2024-05-13T14:12:30.053Z,GME,hybrid,0.0065848213380216725,0.019224503095470833,0.0017501771014652573,1,1.3500000000000014,EDGX|CBOE|OTC,OTC,467,0.5552440435581307,0.0065848213380216725,0.011859328189861584,EDGX,5128,0.4799063651400192,0.0021470106104433586,0.00447381148990791,10.980728051391862,1
2024-05-13T14:17:57.468Z,GME,hybrid,0.004195728947956145,0.007213114754098323,0.0015593358336494724,1,1.389999999999997,EDGX|CBOE|OTC,OTC,799,0.5264362146962546,0.004195728947956145,0.00797006138792525,EDGX,4348,0.4498952763061599,0.00297412954443529,0.006610715206556991,5.44180225281602,1
2024-05-13T14:18:02.469Z,GME,hybrid,0.0033978243370068367,0.007486979166666681,0.001532509059121618,1,1.389999999999997,EDGX|CBOE|OTC,OTC,855,0.5024055914345578,0.0033978243370068367,0.006763110114488902,EDGX,5091,0.385165429656627,0.002078012919089536,0.005395117939172459,5.954385964912281,1
2024-05-13T14:18:12.489Z,GME,hybrid,0.006578219133082434,0.021269633507853356,0.0019048312139654056,1,1.389999999999997,EDGX|CBOE|OTC,OTC,1020,0.579978867316601,0.006578219133082434,0.011342170385479737,EDGX,6410,0.401273859085768,0.002703049343140623,0.006736171026189062,6.284313725490196,1
2024-05-13T14:18:27.511Z,GME,hybrid,0.009757899740684915,0.011693952555963963,0.002041580528261691,1,1.2299999999999969,EDGX|CBOE|OTC,OTC,393,0.6907702408679474,0.009757899740684915,0.014126114825711354,EDGX,4013,0.3425655074312699,0.0018769919335384561,0.005479220449288939,10.211195928753181,1
2024-05-13T14:18:37.534Z,GME,hybrid,0.0061474514801508635,0.00995024875621893,0.0021216889421938863,1,0.9949999999999974,EDGX|CBOE|OTC,OTC,418,0.5690845457612531,0.0061474514801508635,0.01080235182265851,EDGX,3841,0.2893676617887726,0.0017211816890981878,0.005948078919594633,9.188995215311005,1
2024-05-13T14:18:52.541Z,GME,hybrid,0.008591631211855895,0.0157377049180328,0.0015117223255395732,1,1.4799999999999969,EDGX|CBOE|OTC,OTC,401,0.7354473779234996,0.008591631211855895,0.011682183484172524,EDGX,3535,0.33824381252461316,0.0015092553916692569,0.004462033999689002,8.815461346633416,1
