start,end,max,count,date
2024-06-07 08:49:09-04:00,2024-06-07 08:49:09-04:00,61.8,17,2024-06-07
2024-06-07 08:49:23-04:00,2024-06-07 08:49:23-04:00,61.8,12,2024-06-07
2024-06-07 08:49:38-04:00,2024-06-07 08:49:38-04:00,61.87,12,2024-06-07
2024-06-07 08:49:53-04:00,2024-06-07 08:49:53-04:00,61.88,14,2024-06-07
2024-06-07 08:50:25-04:00,2024-06-07 08:50:25-04:00,61.91,7,2024-06-07
2024-06-07 08:50:38-04:00,2024-06-07 08:50:38-04:00,61.93,7,2024-06-07
2024-06-07 08:50:53-04:00,2024-06-07 08:50:53-04:00,62.0,5,2024-06-07
2024-06-07 08:51:08-04:00,2024-06-07 08:51:08-04:00,62.0,9,2024-06-07
2024-06-07 08:51:24-04:00,2024-06-07 08:51:24-04:00,62.0,9,2024-06-07
2024-06-07 08:51:39-04:00,2024-06-07 08:51:39-04:00,62.0,4,2024-06-07
2024-06-07 08:51:54-04:00,2024-06-07 08:51:54-04:00,62.02,11,2024-06-07
2024-06-07 08:52:12-04:00,2024-06-07 08:52:12-04:00,62.03,11,2024-06-07
2024-06-07 08:52:26-04:00,2024-06-07 08:52:26-04:00,62.04,3,2024-06-07
2024-06-07 08:52:41-04:00,2024-06-07 08:52:41-04:00,62.05,14,2024-06-07
2024-06-07 08:52:57-04:00,2024-06-07 08:52:57-04:00,62.05,20,2024-06-07
2024-06-07 08:53:13-04:00,2024-06-07 08:53:13-04:00,62.05,6,2024-06-07
2024-06-07 08:53:28-04:00,2024-06-07 08:53:28-04:00,62.06,6,2024-06-07
2024-06-07 08:53:44-04:00,2024-06-07 08:53:44-04:00,62.06,10,2024-06-07
2024-06-07 08:53:59-04:00,2024-06-07 08:53:59-04:00,62.1,6,2024-06-07
2024-06-07 08:54:13-04:00,2024-06-07 08:54:13-04:00,62.15,9,2024-06-07
2024-06-07 08:54:16-04:00,2024-06-07 08:55:44-04:00,63.94,6717,2024-06-07
2024-06-07 08:55:46-04:00,2024-06-07 08:55:53-04:00,63.94,668,2024-06-07
2024-06-07 08:55:55-04:00,2024-06-07 08:56:26-04:00,63.94,2395,2024-06-07
2024-06-07 08:56:28-04:00,2024-06-07 08:57:59-04:00,63.49,8179,2024-06-07
2024-06-07 08:58:01-04:00,2024-06-07 08:58:15-04:00,64.31,1761,2024-06-07
2024-06-07 08:58:35-04:00,2024-06-07 08:58:59-04:00,64.32,1737,2024-06-07
2024-06-07 08:59:09-04:00,2024-06-07 09:00:39-04:00,64.35,6877,2024-06-07
2024-06-07 09:00:41-04:00,2024-06-07 09:01:56-04:00,64.17,9526,2024-06-07
2024-06-07 09:01:58-04:00,2024-06-07 09:02:59-04:00,63.28,11977,2024-06-07
2024-06-07 09:03:01-04:00,2024-06-07 09:03:53-04:00,62.88,10700,2024-06-07
2024-06-07 09:04:01-04:00,2024-06-07 09:04:01-04:00,62.89,14,2024-06-07
2024-06-07 09:04:03-04:00,2024-06-07 09:04:32-04:00,62.9,5759,2024-06-07
2024-06-07 09:04:36-04:00,2024-06-07 09:04:36-04:00,58.88,17,2024-06-07
2024-06-07 09:04:44-04:00,2024-06-07 09:04:44-04:00,62.9,16,2024-06-07
2024-06-07 09:04:54-04:00,2024-06-07 09:04:54-04:00,58.95,27,2024-06-07
2024-06-07 09:04:59-04:00,2024-06-07 09:04:59-04:00,62.9,19,2024-06-07
2024-06-07 09:05:08-04:00,2024-06-07 09:05:08-04:00,58.9,15,2024-06-07
2024-06-07 09:05:15-04:00,2024-06-07 09:05:15-04:00,62.9,18,2024-06-07
2024-06-07 09:05:28-04:00,2024-06-07 09:05:28-04:00,62.94,17,2024-06-07
2024-06-07 09:05:43-04:00,2024-06-07 09:05:43-04:00,62.95,10,2024-06-07
2024-06-07 09:06:01-04:00,2024-06-07 09:06:01-04:00,62.96,5,2024-06-07
2024-06-07 09:06:16-04:00,2024-06-07 09:06:16-04:00,62.96,11,2024-06-07
2024-06-07 09:06:35-04:00,2024-06-07 09:06:35-04:00,62.98,12,2024-06-07
